#  N   Simpsons     Milne      GSL_QAG_31  
#-----------------------------------------
1717  4.792870e-11  2.685802e-15  7.067899e-16
1721  4.749091e-11  5.512961e-15  7.067899e-16
1725  4.705157e-11  5.654319e-16  7.067899e-16
1729  4.661350e-11  1.554938e-15  7.067899e-16
1733  4.619423e-11  3.392592e-15  7.067899e-16
1737  4.576733e-11  3.816666e-15  7.067899e-16
1741  4.534849e-11  3.533950e-15  7.067899e-16
1745  4.492950e-11  3.251234e-15  7.067899e-16
1749  4.451490e-11  3.533950e-15  7.067899e-16
1753  4.411090e-11  3.533950e-15  7.067899e-16
1757  4.371241e-11  1.696296e-15  7.067899e-16
1761  4.332467e-11  8.057405e-15  7.067899e-16
1765  4.292689e-11  3.392592e-15  7.067899e-16
1769  4.253872e-11  9.895059e-16  7.067899e-16
1773  4.215338e-11  2.827160e-15  7.067899e-16
1777  4.177284e-11  2.544444e-15  7.067899e-16
1781  4.140460e-11  3.251234e-15  7.067899e-16
1785  4.103622e-11  3.251234e-15  7.067899e-16
1789  4.066685e-11  2.120370e-15  7.067899e-16
1793  4.030583e-11  9.895059e-16  7.067899e-16
1797  3.995102e-11  7.491973e-15  7.067899e-16
1801  3.959550e-11  4.099382e-15  7.067899e-16
1805  3.924621e-11  8.481479e-16  7.067899e-16
1809  3.889380e-11  8.481479e-16  7.067899e-16
1813  3.855567e-11  1.272222e-15  7.067899e-16
1817  3.821429e-11  3.392592e-15  7.067899e-16
1821  3.788352e-11  4.240740e-16  7.067899e-16
1825  3.755090e-11  1.272222e-15  7.067899e-16
1829  3.722055e-11  2.261728e-15  7.067899e-16
1833  3.689698e-11  2.827160e-16  7.067899e-16
1837  3.657242e-11  5.795677e-15  7.067899e-16
1841  3.625663e-11  3.109876e-15  7.067899e-16
1845  3.594536e-11  1.979012e-15  7.067899e-16
1849  3.564002e-11  8.481479e-15  7.067899e-16
1853  3.533101e-11  1.837654e-15  7.067899e-16
1857  3.502738e-11  2.827160e-15  7.067899e-16
1861  3.472275e-11  4.382098e-15  7.067899e-16
1865  3.442618e-11  2.261728e-15  7.067899e-16
1869  3.414135e-11  6.926541e-15  7.067899e-16
1873  3.384365e-11  1.554938e-15  7.067899e-16
1877  3.355570e-11  4.240740e-16  7.067899e-16
1881  3.326846e-11  1.554938e-15  7.067899e-16
1885  3.299211e-11  1.413580e-15  7.067899e-16
1889  3.271405e-11  8.198763e-15  7.067899e-16
1893  3.244279e-11  1.201543e-14  7.067899e-16
1897  3.215767e-11  3.392592e-15  7.067899e-16
1901  3.189220e-11  4.240740e-15  7.067899e-16
1905  3.162729e-11  5.512961e-15  7.067899e-16
1909  3.135871e-11  1.554938e-15  7.067899e-16
1913  3.110201e-11  4.664814e-15  7.067899e-16
1917  3.084007e-11  2.827160e-16  7.067899e-16
1921  3.058690e-11  4.240740e-15  7.067899e-16
1925  3.032807e-11  1.837654e-15  7.067899e-16
1929  3.007660e-11  2.261728e-15  7.067899e-16
1933  2.983671e-11  5.937035e-15  7.067899e-16
1937  2.958538e-11  1.554938e-15  7.067899e-16
1941  2.934747e-11  7.067899e-15  7.067899e-16
1945  2.910391e-11  1.554938e-15  7.067899e-16
1949  2.887138e-11  6.219751e-15  7.067899e-16
1953  2.863644e-11  1.243950e-14  7.067899e-16
1957  2.839613e-11  1.696296e-15  7.067899e-16
1961  2.816134e-11  1.413580e-15  7.067899e-16
1965  2.793220e-11  9.895059e-16  7.067899e-16
1969  2.771747e-11  7.633331e-15  7.067899e-16
1973  2.748607e-11  4.523456e-15  7.067899e-16
1977  2.726781e-11  2.827160e-15  7.067899e-16
1981  2.704786e-11  5.230245e-15  7.067899e-16
1985  2.682579e-11  2.827160e-15  7.067899e-16
1989  2.660668e-11  2.827160e-15  7.067899e-16
1993  2.640072e-11  8.481479e-15  7.067899e-16
1997  2.619321e-11  7.350615e-15  7.067899e-16
2001  2.597227e-11  1.554938e-15  7.067899e-16
2005  2.576900e-11  1.272222e-15  7.067899e-16
2009  2.556728e-11  4.240740e-16  7.067899e-16
2013  2.536853e-11  6.078393e-15  7.067899e-16
2017  2.515946e-11  3.533950e-15  7.067899e-16
2021  2.496636e-11  4.382098e-15  7.067899e-16
2025  2.477553e-11  7.633331e-15  7.067899e-16
2029  2.457466e-11  4.240740e-16  7.067899e-16
2033  2.438086e-11  2.827160e-16  7.067899e-16
2037  2.418932e-11  1.837654e-15  7.067899e-16
